className,bug,mutationsTotal,mutationsKilled,mutationsSurvived
org.aspectj.weaver.bcel.IfFinder,0,13,0,10
org.aspectj.ajdt.internal.compiler.lookup.InterTypeMethodBinding,2,34,0,31
org.aspectj.ajdt.internal.compiler.ClassFileBasedByteCodeProvider,1,4,3,1
org.aspectj.ajdt.internal.compiler.ast.AjMethodDeclaration,2,18,14,3
org.aspectj.weaver.reflect.ReflectionBasedReferenceTypeDelegate,2,85,2,20
org.aspectj.ajdt.internal.compiler.lookup.EclipseFactory,2,262,84,96
org.aspectj.weaver.bcel.LazyClassGen,15,881,370,195
org.aspectj.weaver.patterns.HasThisTypePatternTriedToSneakInSomeGenericOrParameterizedTypePatternMatchingStuffAnywhereVisitor,0,19,4,12
org.aspectj.weaver.tools.DefaultTraceFactory,1,6,1,1
org.aspectj.internal.tools.build.Module,2,234,57,69
org.aspectj.weaver.MissingResolvedTypeWithKnownSignature,0,59,6,1
org.aspectj.ajdt.internal.compiler.ast.AdviceDeclaration,2,229,111,85
org.aspectj.weaver.loadtime.Options,3,70,16,7
org.aspectj.util.FileUtil,4,692,297,248
org.aspectj.weaver.patterns.PatternNode,2,14,9,5
org.aspectj.org.eclipse.jdt.core.dom.AfterThrowingAdviceDeclaration,2,43,2,6
org.aspectj.weaver.bcel.UnwovenClassFile,3,51,9,2
org.aspectj.weaver.tools.PointcutParser,0,71,57,14
org.aspectj.weaver.patterns.BindingTypePattern,1,47,21,26
org.aspectj.ajde.core.JavaOptions,0,35,0,1
org.aspectj.asm.internal.Relationship,1,19,1,6
org.aspectj.weaver.patterns.ThisOrTargetAnnotationPointcut,4,78,25,39
org.aspectj.weaver.patterns.DeclareParents,3,178,56,36
org.aspectj.util.Reflection,1,122,8,5
org.aspectj.weaver.patterns.NameBindingPointcut,2,2,1,1
org.aspectj.weaver.patterns.AndPointcut,4,33,23,10
org.aspectj.bridge.CountingMessageHandler,1,41,33,6
org.aspectj.weaver.ResolvedMemberImpl,5,379,75,102
org.aspectj.internal.lang.reflect.AjTypeImpl,0,414,150,77
org.aspectj.internal.tools.ant.taskdefs.AntBuilder,1,217,30,66
org.aspectj.ajdt.internal.compiler.ast.MakeDeclsPublicVisitor,1,5,0,1
org.aspectj.tools.ajc.CompilationResult,0,83,14,23
org.aspectj.ajdt.internal.compiler.lookup.EclipseResolvedMember,1,37,0,9
org.aspectj.ajdt.internal.compiler.lookup.InterTypeMemberFinder,2,89,14,71
org.aspectj.org.eclipse.jdt.core.dom.PointcutDeclaration,1,84,21,18
org.aspectj.weaver.patterns.WithinCodeAnnotationPointcut,7,41,18,10
org.aspectj.weaver.IntMap,1,72,39,15
org.aspectj.asm.internal.HandleProviderDelimiter,0,101,1,31
org.aspectj.internal.tools.build.Modules,0,4,3,1
org.aspectj.weaver.ExposeTypeMunger,0,3,2,1
org.aspectj.tools.ajc.Main,2,198,43,118
org.aspectj.weaver.patterns.WithinAnnotationPointcut,5,49,16,9
org.aspectj.ajdt.internal.core.builder.EclipseSourceContext,2,32,0,10
org.aspectj.weaver.bcel.BcelClassWeaver,20,1178,332,351
org.aspectj.ajdt.internal.compiler.lookup.HelperInterfaceBinding,1,26,0,26
org.aspectj.ajdt.internal.compiler.ast.DeclareAnnotationDeclaration,1,48,10,10
org.aspectj.weaver.ltw.LTWWorld,1,82,0,17
org.aspectj.ajdt.internal.core.builder.CompactTypeStructureRepresentation,0,11,0,2
org.aspectj.weaver.NewFieldTypeMunger,1,74,8,36
org.aspectj.weaver.NameMangler,8,305,4,25
org.aspectj.weaver.patterns.PerThisOrTargetPointcutVisitor,3,36,1,19
org.aspectj.lang.NoAspectBoundException,2,1,0,1
org.aspectj.org.eclipse.jdt.core.dom.CflowPointcut,2,22,1,0
org.aspectj.lang.SoftException,2,10,0,10
org.aspectj.weaver.tools.DefaultTrace,5,13,0,10
org.aspectj.org.eclipse.jdt.core.dom.AfterAdviceDeclaration,2,2,2,0
org.aspectj.runtime.reflect.StringMaker,2,137,8,105
org.aspectj.weaver.reflect.Java15ReflectionBasedReferenceTypeDelegate,5,102,64,35
org.aspectj.weaver.bcel.BcelCflowAccessVar,0,12,0,12
org.aspectj.weaver.WeaverStateInfo,4,434,232,74
org.aspectj.weaver.reflect.ShadowMatchImpl,0,6,5,1
org.aspectj.runtime.internal.Conversions,0,41,0,1
org.aspectj.weaver.CrosscuttingMembersSet,10,101,44,45
org.aspectj.weaver.World,25,235,58,57
org.aspectj.org.eclipse.jdt.core.dom.AjAST,2,12,8,0
org.aspectj.weaver.patterns.ExactAnnotationTypePattern,4,105,35,32
org.aspectj.ajde.core.AjCompiler,0,25,6,6
org.aspectj.weaver.AbstractReferenceTypeDelegate,1,114,18,15
org.aspectj.weaver.loadtime.DefaultWeavingContext,7,42,0,12
org.aspectj.ajdt.internal.compiler.lookup.EclipseTypeMunger,2,81,20,61
org.aspectj.weaver.bcel.Range,0,50,34,8
org.aspectj.org.eclipse.jdt.core.dom.AdviceDeclaration,2,66,1,9
org.aspectj.ajde.ui.StructureViewNodeFactory,1,22,0,22
org.aspectj.weaver.loadtime.WeavingURLClassLoader,6,41,8,21
org.aspectj.ajde.Ajde,2,48,0,10
org.aspectj.ajdt.internal.compiler.ast.InterTypeMethodDeclaration,2,229,49,80
org.aspectj.ajdt.internal.compiler.ast.AccessForInlineVisitor,2,71,6,35
org.aspectj.org.eclipse.jdt.core.dom.PatternNode,2,6,0,3
org.aspectj.weaver.reflect.ReflectionWorld,2,9,1,7
org.aspectj.bridge.context.CompilationAndWeavingContext,1,123,8,6
